,posicion,titulo,puntuacion,plataforma
0,1,Elden Ring,9.82,XBOne
1,2,Persona 5 Royal,9.67,PS4
2,3,Red Dead Redemption 2,9.67,XBOne
3,4,Elden Ring,9.65,PC
4,5,Hades 2,9.65,Switch
5,6,Half-Life: Alyx,9.63,PC
6,7,Red Dead Redemption 2,9.63,PS4
7,8,Persona 5 Royal,9.63,Switch
8,9,Elden Ring: Shadow of the Erdtree,9.6,PC
9,10,The Legend of Zelda: Tears of the Kingdom,9.58,Switch
10,11,Baldur's Gate 3,9.54,PC
11,12,The Legend of Zelda: Breath of the Wild,9.54,Switch
12,13,Super Mario Odyssey,9.52,Switch
13,14,The Legend of Zelda: Ocarina of Time 3D,9.49,3DS
14,15,Elden Ring,9.49,PS4
15,16,Persona 5 Royal,9.48,PC
16,17,Super Smash Bros. Ultimate,9.48,Switch
17,18,Persona 4 Golden,9.46,PSVITA
18,19,Hades 2,9.44,PC
19,20,The Last of Us Remasterizado,9.44,PS4
20,21,Persona 5,9.44,PS4
21,22,Grand Theft Auto V,9.42,PS4
22,23,Portal 2,9.41,PC
23,24,Sekiro: Shadows Die Twice,9.4,XBOne
24,25,Half-Life 2,9.39,PC
25,26,StarCraft II: Wings of Liberty,9.39,PC
26,27,Super Mario Bros. 3 CV,9.39,3DS
27,28,The Elder Scrolls V: Skyrim,9.38,PC
28,29,BioShock,9.37,PC
29,30,God of War,9.37,PS4
30,31,Divinity: Original Sin II,9.37,PS4
31,32,Forza Horizon 4,9.37,XBOne
32,33,Grand Theft Auto V,9.36,PC
33,34,Mass Effect 2,9.35,PC
34,35,Street Fighter 6,9.35,PC
35,36,God of War: Ragnarok,9.35,PS4
36,37,Divinity: Original Sin II,9.35,XBOne
37,38,The Last of Us Parte II,9.34,PS4
38,39,Grand Theft Auto V,9.34,XBOne
39,40,The Witcher 3: Wild Hunt,9.33,PC
40,41,Divinity: Original Sin II,9.33,PC
41,42,Uncharted 4: El Desenlace del Ladrón,9.33,PS4
42,43,Forza Horizon 5,9.33,XBOne
43,44,Metroid Prime Remastered,9.32,Switch
44,45,God of War: Ragnarok,9.31,PC
45,46,Astro Bot Rescue Mission,9.31,PS4
46,47,Tekken 8,9.3,PC
47,48,The Witcher 3: Wild Hunt,9.3,XBOne
48,49,Ori and the Will of the Wisps,9.3,XBOne
49,50,Operation Flashpoint,9.28,PC
50,51,Grand Theft Auto: San Andreas,9.28,PC
51,52,Fire Emblem: Awakening,9.28,3DS
52,53,Celeste,9.28,XBOne
53,54,The Witcher 3: Wild Hunt,9.27,PS4
54,55,Ori and the Will of the Wisps,9.27,Switch
55,56,Undertale,9.26,PC
56,57,Final Fantasy XIV: Shadowbringers,9.25,PC
57,58,Animal Well,9.25,PC
58,59,Shin Megami Tensei V: Vengeance,9.25,PC
59,60,Final Fantasy VII Rebirth,9.25,PC
60,61,Forza Horizon 3,9.25,XBOne
61,62,Fez,9.25,Switch
62,63,Animal Well,9.25,Switch
63,64,BioShock Infinite,9.24,PC
64,65,Baldur's Gate 2,9.23,PC
65,66,Bloodborne,9.23,PS4
66,67,Monster Hunter World: Iceborne,9.22,PC
67,68,Dark Souls III,9.21,XBOne
68,69,Ori and the Blind Forest: Definitive Edition,9.21,XBOne
69,70,The Elder Scrolls IV: Oblivion,9.2,PC
70,71,Odin Sphere Leifthrasir,9.2,PSVITA
71,72,Final Fantasy XIV: Shadowbringers,9.2,PS4
72,73,Ori and the Blind Forest,9.19,XBOne
73,74,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,9.19,Switch
74,75,13 Sentinels: Aegis Rim,9.19,Switch
75,76,Civilization IV,9.18,PC
76,77,Crysis,9.18,PC
77,78,Mass Effect,9.18,PC
78,79,The Legend of Zelda: Majora's Mask 3D,9.18,3DS
79,80,Half-Life 2 Episode Two,9.17,PC
80,81,Red Dead Redemption 2,9.17,PC
81,82,Forza Horizon 4,9.17,PC
82,83,Fallout 3,9.16,PC
83,84,StarCraft II: Legacy of the Void,9.15,PC
84,85,Hollow Knight: Silksong,9.15,PC
85,86,Forza Horizon 5,9.15,PC
86,87,Horizon Forbidden West,9.15,PC
87,88,Dark Souls II: Scholar of the First Sin,9.15,XBOne
88,89,Dark Souls III,9.14,PS4
89,90,Dead Cells,9.14,XBOne
90,91,Mario Kart 8 Deluxe,9.14,Switch
91,92,Fire Emblem: Three Houses,9.14,Switch
92,93,Resident Evil 2 Remake,9.13,XBOne
93,94,Max Payne,9.12,PC
94,95,God of War,9.12,PC
95,96,Metal Gear Solid V: The Phantom Pain,9.12,PS4
96,97,Metal Gear Solid V: The Phantom Pain,9.12,XBOne
97,98,Doom Eternal,9.11,PC
98,99,Shovel Knight: Treasure Trove,9.11,Switch
99,100,Ori and the Will of the Wisps,9.1,PC
